Pass  name ,Number  of  times ,Average  reducing  code  amount ,Name  group  of  passes
renameVars ,21 ,737 ,
inlineVariables ,36 ,56 ,com.google.javascript.jscomp.PhaseOptimizer$Loop@5b9a1de6
